date,price
2004-01-02,111.180
2004-01-05,111.880
2004-01-06,114.990
2004-01-07,114.240
2004-01-08,114.140
2004-01-09,113.190
2004-01-12,114.150
2004-01-13,113.630
2004-01-14,113.100
2004-01-15,111.830
2004-01-16,108.870
2004-01-17,109.350
2004-01-18,109.370
2004-01-19,109.700
2004-01-20,108.820
2004-01-21,109.730
2004-01-29,109.650
2004-01-30,108.090
2004-02-02,107.910
2004-02-03,107.020
2004-02-04,107.100
2004-02-05,107.280
2004-02-06,107.060
2004-02-09,108.400
2004-02-10,109.210
2004-02-11,108.960
2004-02-12,109.610
2004-02-13,109.880
2004-02-16,109.480
2004-02-17,110.050
2004-02-18,110.700
2004-02-19,109.650
2004-02-20,109.390
2004-02-23,107.530
2004-02-24,107.800
2004-02-25,108.340
2004-02-26,107.330
2004-02-27,106.940
2004-03-01,106.890
2004-03-02,106.950
2004-03-03,105.000
2004-03-04,105.600
2004-03-05,106.000
2004-03-08,106.900
2004-03-09,107.470
2004-03-10,106.920
2004-03-11,106.810
2004-03-12,107.050
2004-03-15,106.490
2004-03-16,106.800
2004-03-17,107.180
2004-03-18,108.110
2004-03-19,109.000
2004-03-22,109.470
2004-03-23,110.900
2004-03-24,111.000
2004-03-25,110.590
2004-03-26,110.600
2004-03-29,111.380
2004-03-30,111.260
2004-03-31,112.210
2004-04-01,112.880
2004-04-02,113.150
2004-04-05,112.000
2004-04-06,111.050
2004-04-07,112.090
2004-04-08,112.780
2004-04-09,112.630
2004-04-12,112.630
2004-04-13,112.000
2004-04-14,109.460
2004-04-15,107.900
2004-04-16,108.370
2004-04-19,109.210
2004-04-20,107.970
2004-04-21,106.440
2004-04-22,105.960
2004-04-23,106.240
2004-04-26,106.030
2004-04-27,106.980
2004-04-28,107.000
2004-04-29,103.420
2004-04-30,104.540
2004-05-08,103.250
2004-05-09,103.250
2004-05-10,101.870
2004-05-11,102.340
2004-05-12,102.280
2004-05-13,101.520
2004-05-14,100.990
2004-05-17,102.290
2004-05-18,102.050
2004-05-19,102.100
2004-05-20,102.150
2004-05-21,102.420
2004-05-24,102.590
2004-05-25,103.180
2004-05-26,103.970
2004-05-27,104.520
2004-05-28,105.580
2004-05-31,105.130
2004-06-01,105.500
2004-06-02,105.180
2004-06-03,104.230
2004-06-04,103.870
2004-06-07,105.290
2004-06-08,105.180
2004-06-09,103.890
2004-06-10,103.670
2004-06-11,103.080
2004-06-14,102.330
2004-06-15,102.390
2004-06-16,103.620
2004-06-17,102.870
2004-06-18,103.000
2004-06-21,104.600
2004-06-22,104.490
2004-06-23,105.090
2004-06-24,104.820
2004-06-25,106.380
2004-06-28,106.290
2004-06-29,105.790
2004-06-30,104.710
